Title,Price
"Distopías maestras (pack que incluye: 1984, Fahrenheit 451 y Un mundo feliz)",46360.0
El Surgimiento de Sendero Luminoso. Ayacucho 19691979. Obras Escogidas vii,25650.0
Breve Historia de Sendero Luminoso,28530.0
Noches Blancas,29780.0
Sueñan los Androides con Ovejas Eléctricas?,32180.0
Flores de la Bufoneria,21250.0
Mujer Vida Libertad,11200.0
Estuche Biblioteca Hogwarts,25900.0
Homo Deus,17000.0
La Sociedad del Cansancio,26040.0
Ética a Nicómaco,19840.0
Apologia de Socrates / Menon / Cratilo,25930.0
Vigilar y Castigar,26660.0
El Mundo Perdido. Parque Jurásico 2,16950.0
El Arte de Tener Siempre Razon,17420.0
El exorcista,16860.0
Los Crímenes de Grindelwald. Guion Original de la Película / The Crimes of Grindelwald: The Original Screenplay = Fantastic Beasts: The Crimes of Grin,29950.0
Animales Fantásticos Y Dónde Encontrarlos. Guion Original de la Película / Fantastic Beasts and Where to Find Them: The Original Screenplay,29260.0
El Príncipe,12910.0
Estuche Harry Potter Slytherin (Edición Limitada),103580.0
La Sociedad de la Transparencia,21270.0
Filosofía de la Redención,43010.0
Diccionario Anarquista de Emergencia,32520.0
El Retrato de Dorian Gray,25690.0
Los Evangelios Escarlata: 9 (la Caja de Pandora),40630.0
Libros de Sangre ii,31980.0
"Libros de Sangre: Volúmenes 1, 2 y 3",31980.0
Pedro Paramo,18800.0
Siddharta,10030.0
Niebla,8830.0
Biblioteca Esencial George Orwell (1984; Rebelion en la Granja; Homenaje a Cataluña; Opresion y Resistencia),45190.0
Adiós al Séptimo de Línea (5 Tomos),56090.0
Estuche trilogía La casa de los espíritus (contiene La casa de los espíritus | Hija de la fortuna | Retrato en sepia),36470.0
Discurso del Metodo,22260.0
Berserk Maximum 1,31600.0
Estupor y temblores,10200.0
Animales Fantasticos y Donde Encontrarlos (Ilustrado),35530.0
Los cuentos de Beedle el bardo (Un libro de la biblioteca de Hogwarts [edición ilustrada]),24650.0
El Diablo en el Cuerpo (Clásicos Universales),18390.0
El Hombre Invisible,7540.0
Las Uvas de la ira,26670.0
Las 48 Leyes del Poder (EDICIÓN ABREVIADA),25130.0
El Amante de Lady Chatterley,15050.0
120 Dias de Sodoma,20540.0
Nuestra Propia Reina de Película,13600.0
Watchmen: Deluxe Edition - dc Comics **Hb** (en Inglés),48280.0
Flashpoint (Edicion Deluxe),55190.0
Fragmentos de un Cuaderno Manchado de Vino: Relatos y Ensayos Ineditos (1944-1990) = Fragments of a Wine-Stained Notebook,12750.0
Peleando a la contra,27130.0
El capitán salió a comer y los marineros tomaron el barco,10200.0
Shakespeare Nunca Lo Hizo,10200.0
Pregúntale al polvo,20210.0
La máquina de follar,17820.0
Se busca una mujer,11900.0
Hollywood,12750.0
Música de cañerías,11050.0
Cartero,15770.0
Pulp,17450.0
Estuche Trilogía de Los Tres Cuerpos: El Problema de Los Tres Cuerpos; El Bosque Oscuro; El Fin de la Muerte / Three-Body Problem Boxed Set: The Dark,61120.0
Matilda. Edicion Ilustrada (Coleccion Alfaguara Clasicos),22100.0
Cuadernos de la Cárcel. Obra Completa (3 volúmenes),125110.0
Stuart Little (Ilustrado por Garth Williams),28000.0
El Gran Gatsby / The Great Gatsby,22280.0
La Muerte Feliz,17700.0
La peste,15710.0
El Padrino,12750.0
La insoportable levedad del ser,23490.0
Ulises,20710.0
LAS COSAS QUE PERDIMOS EN EL FUEGO,20240.0
La campana de cristal,18210.0
Las vírgenes suicidas,26420.0
Temporada de Huracanes,21470.0
El Beso de la Mujer Araña,18620.0
Cien años de soledad (edición ilustrada),31560.0
Madame Bovary,18270.0
El Crimen del Padre Amaro,43080.0
La Dama del Perrito,31620.0
Castillos de Carton,21650.0
Cumbres Borrascosas,17160.0
Lolita,12750.0
Penas del Joven Werther,19790.0
El Marino que Perdió la Gracia del mar,27220.0
La tumba,18010.0
Chicas en Tiempos Suspendidos,19550.0
Del inconveniente de haber nacido,30120.0
